query,code,mpn,stock,status
C178530,C178530,EEEFK1A471P,668,CANDIDATE
C183545,C183545,R82DC4100DQ60J,0,CANDIDATE
C22870534,C22870534,2920L260/33DR,28,CANDIDATE
615008160221,C6461980,615008160221,0,CANDIDATE
43650-0200,C192562,436500200,4313,CANDIDATE
43650-0200,C239446,C3030WR-2P,1026,CANDIDATE
43650-0200,C5441111,HC-MX3.0-2AW,8035,CANDIDATE
43650-0200,C17322198,0436500200,0,CANDIDATE
43650-0200,C50327587,0436500200,0,CANDIDATE
43650-0400,C239448,C3030WR-4P,1071,CANDIDATE
43650-0400,C277684,436500400,2340,CANDIDATE
43650-0400,C5441113,HC-MX3.0-4AW,547,CANDIDATE
43650-0400,C9900092585,43650-0400,0,CANDIDATE
TMM-106-01-L-D,C7362125,TMM-106-01-L-D,3,CANDIDATE
TMM-106-01-L-D,C17430537,LTMM-106-01-L-D,0,CANDIDATE
TMM-106-01-L-D,C17660533,STMM-106-01-L-D,0,CANDIDATE
TMM-106-01-L-D,C3348879,TMM-106-01-L-D-RA,10,CANDIDATE
TMM-106-01-L-D,C6332551,TMM-106-01-L-D-RE,0,CANDIDATE
TMM-106-01-L-D,C22180581,STMM-106-01-L-D-P,0,CANDIDATE
TMM-106-01-L-D,C17372393,LTMM-106-01-L-D-SM,0,CANDIDATE
TMM-106-01-L-D,C17615768,STMM-106-01-L-D-SM,0,CANDIDATE
TMM-106-01-L-D,C20838025,TMM-106-01-L-D-SM-P,0,CANDIDATE
TMM-106-01-L-D,C6285793,TMM-106-01-L-D-SM-TR,0,CANDIDATE
CS5308P-DN,C9900305019,CS5308P-DNR,0,CANDIDATE
