Comment,Designator,Footprint,LCSC
C105871 prelayout exact-code probe,"R_CFG1,R_CFG4",,C105871
C106231 prelayout exact-code probe,R_CFG2,,C106231
C106232 prelayout exact-code probe,"R_OPA_BLEED1,R_OPA_BLEED2",,C106232
C110776 prelayout exact-code probe,"R_VMID1_BOT,R_VMID1_TOP,R_VMID2_BOT,R_VMID2_TOP",,C110776
C114765 prelayout exact-code probe,"R_BCLK,R_MCLK",,C114765
C123302 prelayout exact-code probe,U_RST2,,C123302
C124196 prelayout exact-code probe,D_QIN_GS,,C124196
C126514 prelayout exact-code probe,"C_FB1N,C_FB1P,C_FB2N,C_FB2P,C_FB3N,C_FB3P,C_FB4N,C_FB4P,C_FB5N,C_FB5P,C_FB6N,C_FB6P,C_FB7N,C_FB7P,C_FB8N,C_FB8P",,C126514
C130024 prelayout exact-code probe,U_CLK,,C130024
C131093 prelayout exact-code probe,"U_DUMP,U_LDO_EN,U_OE",,C131093
C138002 prelayout exact-code probe,R_TDM,,C138002
C138010 prelayout exact-code probe,"R_MCH_SENSE,R_X1N,R_X1P,R_X2N,R_X2P,R_X3N,R_X3P,R_X4N,R_X4P,R_X5N,R_X5P,R_X6N,R_X6P,R_X7N,R_X7P,R_X8N,R_X8P",,C138010
C138066 prelayout exact-code probe,"R_OUT1N,R_OUT1P,R_OUT2N,R_OUT2P,R_OUT3N,R_OUT3P,R_OUT4N,R_OUT4P,R_OUT5N,R_OUT5P,R_OUT6N,R_OUT6P,R_OUT7N,R_OUT7P,R_OUT8N,R_OUT8P",,C138066
C1509297 prelayout exact-code probe,"U_AUDIO,U_PWR",,C1509297
C15127 prelayout exact-code probe,Q_PRE,,C15127
C15195 prelayout exact-code probe,"C_VDDA1_10N,C_VDDA2_10N",,C15195
C1525 prelayout exact-code probe,"C_AUDIO,C_BUCK_BST,C_CLK,C_DUMP_LOGIC,C_ISO1,C_ISO2,C_ISO3,C_ISO4,C_ISO5,C_ISO6,C_ISO7,C_ISO8,C_LDO_EN,C_OE,C_OPA1,C_OPA2,C_OPA3,C_OPA4,C_OPA5,C_OPA6,C_OPA7,C_OPA8,C_PWR,C_RST1,C_RST2,C_TDM,C_TDM_SCH,C_VDDIO",,C1525
C154439 prelayout exact-code probe,D_BUCK_IN,,C154439
C178530 prelayout exact-code probe,"C_FILT1_470U,C_FILT2_470U,C_HOLD1,C_HOLD2",,C178530
C19666 prelayout exact-code probe,"C_VDDA1_4U7,C_VDDA2_4U7",,C19666
