Comment,Designator,Footprint,LCSC,qty,required_qty,stock_threshold,absolute_surplus,status,code,type,stock,mpn,manufacturer,pkg,price
C105871 prelayout exact-code probe,"R_CFG1,R_CFG4",,C105871,2,10,10,6485728,OK,C105871,expand,6485738,RC0402FR-074K7L,YAGEO,0402,0.0038
C106231 prelayout exact-code probe,R_CFG2,,C106231,1,5,5,1637625,OK,C106231,expand,1637630,RC0402FR-070RL,YAGEO,0402,0.0037
C106232 prelayout exact-code probe,"R_OPA_BLEED1,R_OPA_BLEED2",,C106232,2,10,10,4864797,OK,C106232,expand,4864807,RC0402FR-07100RL,YAGEO,0402,0.0032
C110776 prelayout exact-code probe,"R_VMID1_BOT,R_VMID1_TOP,R_VMID2_BOT,R_VMID2_TOP",,C110776,4,20,20,462317,OK,C110776,expand,462337,RT0603BRD071KL,YAGEO,0603,0.0327
C114765 prelayout exact-code probe,"R_BCLK,R_MCLK",,C114765,2,10,10,4066827,OK,C114765,expand,4066837,RC0402FR-0722RL,YAGEO,0402,0.0037
C123302 prelayout exact-code probe,U_RST2,,C123302,1,5,5,7895,OK,C123302,expand,7900,SN74LVC1G123DCTR,Texas Instruments,SSOP-8,0.7646
C124196 prelayout exact-code probe,D_QIN_GS,,C124196,1,5,5,9685,OK,C124196,expand,9690,BZT52C12-7-F,Diodes Incorporated,SOD-123,0.0571
C126514 prelayout exact-code probe,"C_FB1N,C_FB1P,C_FB2N,C_FB2P,C_FB3N,C_FB3P,C_FB4N,C_FB4P,C_FB5N,C_FB5P,C_FB6N,C_FB6P,C_FB7N,C_FB7P,C_FB8N,C_FB8P",,C126514,16,80,80,75120,OK,C126514,expand,75200,GCM1555C1H681JA16D,Murata Electronics,0402,0.0134
C130024 prelayout exact-code probe,U_CLK,,C130024,1,5,5,780,OK,C130024,expand,785,SN74LVC3G34DCUR,Texas Instruments,VSSOP-8,0.5076
C131093 prelayout exact-code probe,"U_DUMP,U_LDO_EN,U_OE",,C131093,3,15,15,3399,OK,C131093,expand,3414,"74LVC1G14GV,125",Nexperia,SOT-753,0.1684
C138002 prelayout exact-code probe,R_TDM,,C138002,1,5,5,5431461,OK,C138002,expand,5431466,RC0402FR-0733RL,YAGEO,0402,0.005
C138010 prelayout exact-code probe,"R_MCH_SENSE,R_X1N,R_X1P,R_X2N,R_X2P,R_X3N,R_X3P,R_X4N,R_X4P,R_X5N,R_X5P,R_X6N,R_X6P,R_X7N,R_X7P,R_X8N,R_X8P",,C138010,17,85,85,303894,OK,C138010,expand,303979,RC0402FR-07300RL,YAGEO,0402,0.004
C138066 prelayout exact-code probe,"R_OUT1N,R_OUT1P,R_OUT2N,R_OUT2P,R_OUT3N,R_OUT3P,R_OUT4N,R_OUT4P,R_OUT5N,R_OUT5P,R_OUT6N,R_OUT6P,R_OUT7N,R_OUT7P,R_OUT8N,R_OUT8P",,C138066,16,80,80,1628211,OK,C138066,expand,1628291,RC0402FR-0710RL,YAGEO,0402,0.0041
C1509297 prelayout exact-code probe,"U_AUDIO,U_PWR",,C1509297,2,10,10,588,OK,C1509297,expand,598,TPS389001DSER,Texas Instruments,WSON-6(1.5x1.5),1.6934
C15127 prelayout exact-code probe,Q_PRE,,C15127,1,5,5,491296,OK,C15127,base,491301,AO3401A,Alpha & Omega Semicon,SOT-23,0.0942
C15195 prelayout exact-code probe,"C_VDDA1_10N,C_VDDA2_10N",,C15195,2,10,10,5693578,OK,C15195,base,5693588,CL05B103KB5NNNC,Samsung Electro-Mechanics,0402,0.005
C1525 prelayout exact-code probe,"C_AUDIO,C_BUCK_BST,C_CLK,C_DUMP_LOGIC,C_ISO1,C_ISO2,C_ISO3,C_ISO4,C_ISO5,C_ISO6,C_ISO7,C_ISO8,C_LDO_EN,C_OE,C_OPA1,C_OPA2,C_OPA3,C_OPA4,C_OPA5,C_OPA6,C_OPA7,C_OPA8,C_PWR,C_RST1,C_RST2,C_TDM,C_TDM_SCH,C_VDDIO",,C1525,28,140,140,31024302,OK,C1525,base,31024442,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,0.0045
C154439 prelayout exact-code probe,D_BUCK_IN,,C154439,1,5,5,21426,OK,C154439,expand,21431,US1B-13-F,Diodes Incorporated,SMA,0.1012
C19666 prelayout exact-code probe,"C_VDDA1_4U7,C_VDDA2_4U7",,C19666,2,10,10,3444618,OK,C19666,base,3444628,CL10A475KO8NNNC,Samsung Electro-Mechanics,0603,0.0295
C1972959 prelayout exact-code probe,"U_ESD1,U_ESD2,U_ESD3,U_ESD4,U_ESD5,U_ESD6,U_ESD7,U_ESD8",,C1972959,8,40,40,8933,OK,C1972959,expand,8973,TPD2E2U06DRLR,Texas Instruments,SOT-553-5,0.3226
C2071056 prelayout exact-code probe,U_BUCK,,C2071056,1,5,5,16815,OK,C2071056,expand,16820,AP63205WU-7,Diodes Incorporated,TSOT-23-6,0.4246
C20917 prelayout exact-code probe,Q_DUMP,,C20917,1,5,5,808818,OK,C20917,base,808823,AO3400A,Alpha & Omega Semicon,SOT-23,0.0846
C21120 prelayout exact-code probe,C_RST_T,,C21120,1,5,5,965404,OK,C21120,base,965409,CL10B224KA8NNNC,Samsung Electro-Mechanics,0603,0.0138
C2167386 prelayout exact-code probe,"C_AUDIO_CT1,C_AUDIO_CT2,C_FILT1_1U,C_FILT2_1U,C_PWR_CT,C_VMID1_EXT_1U,C_VMID2_EXT_1U",,C2167386,7,35,35,12089,OK,C2167386,expand,12124,C0603C105K4RACTU,KEMET,0603,0.042
C2167576 prelayout exact-code probe,"C_FILT1_10U,C_FILT2_10U,C_VMID1_EXT_10U,C_VMID2_EXT_10U",,C2167576,4,20,20,5042,OK,C2167576,expand,5062,C0805C106K8RACTU,KEMET,0805,0.2732
C23654 prelayout exact-code probe,U_TDM,,C23654,1,5,5,75054,OK,C23654,expand,75059,SN74LVC1G125DBVR,Texas Instruments,SOT-23-5,0.1281
C2863402 prelayout exact-code probe,"U_AFE1,U_AFE2,U_AFE3,U_AFE4,U_AFE5,U_AFE6,U_AFE7,U_AFE8",,C2863402,8,40,40,1203,OK,C2863402,expand,1243,OPA2320AIDR,Texas Instruments,SOIC-8,2.1034
C318640 prelayout exact-code probe,"C_VMID1_470N,C_VMID2_470N",,C318640,2,10,10,22621,OK,C318640,expand,22631,CL10B474KA8NFNC,Samsung Electro-Mechanics,0603,0.0207
C3761431 prelayout exact-code probe,"F1,F2,F3,F4,F5,F6,F7,F8",,C3761431,8,40,40,1823,OK,C3761431,expand,1863,1812L035/60MR,Littelfuse,1812,0.2408
C389010 prelayout exact-code probe,"C_LDO_A,C_LDO_D,C_VMID1_4U7,C_VMID2_4U7",,C389010,4,20,20,14909,OK,C389010,expand,14929,GRM188Z71C475KE21D,Murata Electronics,0603,0.0905
C53283916 prelayout exact-code probe,"U_ISO1,U_ISO2,U_ISO3,U_ISO4,U_ISO5,U_ISO6,U_ISO7,U_ISO8",,C53283916,8,40,40,-24,LOW_STOCK(16),C53283916,expand,16,TMUX2821DSGR,Texas Instruments,SON-8(2x2),1.3144
C597579 prelayout exact-code probe,"C_BUCK_IN,C_BUCK_IN2,C_BUCK_IN3",,C597579,3,15,15,2909,OK,C597579,expand,2924,12105C106K4Z2A,--,1210,0.6247
