Comment,Designator,Footprint,MPN,LCSC
0Ω,R_CFG2,R_0402_1005Metric,RC0402FR-070RL,C106231
100kΩ,"R_AUDIO_PD,R_B1N,R_B1P,R_B2N,R_B2P,R_B3N,R_B3P,R_B4N,R_B4P,R_B5N,R_B5P,R_B6N,R_B6P,R_B7N,R_B7P,R_B8N,R_B8P,R_CFG5,R_DUMP_PD,R_DUMP_TIME1,R_DUMP_TIME2,R_PRE_G,R_QIN_G,R_RESET_GPD,R_RST_T",R_0402_1005Metric,RC0402FR-07100KL,C60491
100nF,"C_AUDIO,C_BUCK_BST,C_CLK,C_DUMP_LOGIC,C_ISO1,C_ISO2,C_ISO3,C_ISO4,C_ISO5,C_ISO6,C_ISO7,C_ISO8,C_LDO_EN,C_OE,C_OPA1,C_OPA2,C_OPA3,C_OPA4,C_OPA5,C_OPA6,C_OPA7,C_OPA8,C_PWR,C_RST1,C_RST2,C_TDM,C_TDM_SCH,C_VDDIO",C_0402_1005Metric,CL05B104KO5NNNC,C1525
100Ω,"R_OPA_BLEED1,R_OPA_BLEED2",R_0402_1005Metric,RC0402FR-07100RL,C106232
10kΩ,"R_ADC_PD1N,R_ADC_PD1P,R_ADC_PD2N,R_ADC_PD2P,R_ADC_PD3N,R_ADC_PD3P,R_ADC_PD4N,R_ADC_PD4P,R_ADC_PD5N,R_ADC_PD5P,R_ADC_PD6N,R_ADC_PD6P,R_ADC_PD7N,R_ADC_PD7P,R_ADC_PD8N,R_ADC_PD8P,R_AUDIO_PU,R_IN1N,R_IN1P,R_IN2N,R_IN2P,R_IN3N,R_IN3P,R_IN4N,R_IN4P,R_IN5N,R_IN5P,R_IN6N,R_IN6P,R_IN7N,R_IN7P,R_IN8N,R_IN8P,R_MCH_BCLK_PD,R_MCH_FSYNC_PD,R_MCH_MCLK_PD,R_MCH_SENSE_PD,R_PWR_PU,R_RESET_PU,R_TDM_PD",R_0402_1005Metric,RC0402FR-0710KL,C60490
10kΩ,"R_ADC_BOT,R_PWR_BOT",R_0603_1608Metric,RT0603BRD0710KL,C95204
10nF,"C_VDDA1_10N,C_VDDA2_10N",C_0402_1005Metric,CL05B103KB5NNNC,C15195
10uF,"C_FILT1_10U,C_FILT2_10U,C_VMID1_EXT_10U,C_VMID2_EXT_10U",C_0805_2012Metric,C0805C106K8RACTU,C2167576
10uF,"C_BUCK_IN,C_BUCK_IN2,C_BUCK_IN3",C_1210_3225Metric,12105C106K4Z2A,C597579
10Ω,"R_OUT1N,R_OUT1P,R_OUT2N,R_OUT2P,R_OUT3N,R_OUT3P,R_OUT4N,R_OUT4P,R_OUT5N,R_OUT5P,R_OUT6N,R_OUT6P,R_OUT7N,R_OUT7P,R_OUT8N,R_OUT8P",R_0402_1005Metric,RC0402FR-0710RL,C138066
15nF,"C_DUMP_TIME,C_FILTER1N1,C_FILTER1N2,C_FILTER1P1,C_FILTER1P2,C_FILTER2N1,C_FILTER2N2,C_FILTER2P1,C_FILTER2P2,C_FILTER3N1,C_FILTER3N2,C_FILTER3P1,C_FILTER3P2,C_FILTER4N1,C_FILTER4N2,C_FILTER4P1,C_FILTER4P2,C_FILTER5N1,C_FILTER5N2,C_FILTER5P1,C_FILTER5P2,C_FILTER6N1,C_FILTER6N2,C_FILTER6P1,C_FILTER6P2,C_FILTER7N1,C_FILTER7N2,C_FILTER7P1,C_FILTER7P2,C_FILTER8N1,C_FILTER8N2,C_FILTER8P1,C_FILTER8P2",C_0805_2012Metric,GRM2195C1H153JA01D,C97907
17.4kΩ,R_ADC_TOP,R_0603_1608Metric,RT0603BRD0717K4L,C861167
1812L035/60MR,"F1,F2,F3,F4,F5,F6,F7,F8",Littelfuse_1812L035_60_Exact,1812L035/60MR,C3761431
1kΩ,"R_VMID1_BOT,R_VMID1_TOP,R_VMID2_BOT,R_VMID2_TOP",R_0603_1608Metric,RT0603BRD071KL,C110776
1nF,"C_ADC_CM1N,C_ADC_CM1P,C_ADC_CM2N,C_ADC_CM2P,C_ADC_CM3N,C_ADC_CM3P,C_ADC_CM4N,C_ADC_CM4P,C_ADC_CM5N,C_ADC_CM5P,C_ADC_CM6N,C_ADC_CM6P,C_ADC_CM7N,C_ADC_CM7P,C_ADC_CM8N,C_ADC_CM8P,C_LDO_NR4,C_LDO_NR5",C_0402_1005Metric,GRM1555C1H102JA01D,C76947
1uF,"C_AUDIO_CT1,C_AUDIO_CT2,C_FILT1_1U,C_FILT2_1U,C_PWR_CT,C_VMID1_EXT_1U,C_VMID2_EXT_1U",C_0603_1608Metric,C0603C105K4RACTU,C2167386
1Ω,"R_DUMP,R_FILT1P,R_FILT2P",R_1206_3216Metric,CRCW12061R00FKEAHP,C844653
220nF,C_RST_T,C_0603_1608Metric,CL10B224KA8NNNC,C21120
22Ω,"R_BCLK,R_MCLK",R_0402_1005Metric,RC0402FR-0722RL,C114765
22Ω,"R_FSYNC,R_PRE",R_1206_3216Metric,CRCW120622R0FKEAHP,C844025
2N7002K-7,"Q_PRE_EN,Q_RST1",Diodes_2N7002K_SOT23_Exact,2N7002K-7,C85047
30.9kΩ,R_PWR_TOP,Yageo_RT0603_NominalBody,RT0603BRD0730K9L,C861313
300Ω,"R_MCH_SENSE,R_X1N,R_X1P,R_X2N,R_X2P,R_X3N,R_X3P,R_X4N,R_X4P,R_X5N,R_X5P,R_X6N,R_X6P,R_X7N,R_X7P,R_X8N,R_X8P",R_0402_1005Metric,RC0402FR-07300RL,C138010
33kΩ,R_LDO_SET,R_0603_1608Metric,RT0603BRD0733KL,C705768
33Ω,R_TDM,R_0402_1005Metric,RC0402FR-0733RL,C138002
