Comment,Designator,Footprint,LCSC,qty,required_qty,stock_threshold,absolute_surplus,status,code,type,stock,mpn,manufacturer,pkg,price
0Ω,R_CFG2,R_0402_1005Metric,C106231,1,5,155,1564932,OK,C106231,expand,1564937,RC0402FR-070RL,YAGEO,0402,0.0037
100kΩ,"R_AUDIO_PD,R_B1N,R_B1P,R_B2N,R_B2P,R_B3N,R_B3P,R_B4N,R_B4P,R_B5N,R_B5P,R_B6N,R_B6P,R_B7N,R_B7P,R_B8N,R_B8P,R_CFG5,R_DUMP_PD,R_DUMP_TIME1,R_DUMP_TIME2,R_PRE_G,R_QIN_G,R_RESET_GPD,R_RST_T",R_0402_1005Metric,C60491,25,125,275,5917020,OK,C60491,expand,5917145,RC0402FR-07100KL,YAGEO,0402,0.0035
100nF,"C_AUDIO,C_BUCK_BST,C_CLK,C_DUMP_LOGIC,C_ISO1,C_ISO2,C_ISO3,C_ISO4,C_ISO5,C_ISO6,C_ISO7,C_ISO8,C_LDO_EN,C_OE,C_OPA1,C_OPA2,C_OPA3,C_OPA4,C_OPA5,C_OPA6,C_OPA7,C_OPA8,C_PWR,C_RST1,C_RST2,C_TDM,C_TDM_SCH,C_VDDIO",C_0402_1005Metric,C1525,28,140,290,30747813,OK,C1525,base,30747953,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,0.0045
100Ω,"R_OPA_BLEED1,R_OPA_BLEED2",R_0402_1005Metric,C106232,2,10,160,5071598,OK,C106232,expand,5071608,RC0402FR-07100RL,YAGEO,0402,0.0032
10kΩ,"R_ADC_PD1N,R_ADC_PD1P,R_ADC_PD2N,R_ADC_PD2P,R_ADC_PD3N,R_ADC_PD3P,R_ADC_PD4N,R_ADC_PD4P,R_ADC_PD5N,R_ADC_PD5P,R_ADC_PD6N,R_ADC_PD6P,R_ADC_PD7N,R_ADC_PD7P,R_ADC_PD8N,R_ADC_PD8P,R_AUDIO_PU,R_IN1N,R_IN1P,R_IN2N,R_IN2P,R_IN3N,R_IN3P,R_IN4N,R_IN4P,R_IN5N,R_IN5P,R_IN6N,R_IN6P,R_IN7N,R_IN7P,R_IN8N,R_IN8P,R_MCH_BCLK_PD,R_MCH_FSYNC_PD,R_MCH_MCLK_PD,R_MCH_SENSE_PD,R_PWR_PU,R_RESET_PU,R_TDM_PD",R_0402_1005Metric,C60490,40,200,350,8860245,OK,C60490,expand,8860445,RC0402FR-0710KL,YAGEO,0402,0.0033
10kΩ,"R_ADC_BOT,R_PWR_BOT",R_0603_1608Metric,C95204,2,10,160,2025515,OK,C95204,expand,2025525,RT0603BRD0710KL,YAGEO,0603,0.0327
10nF,"C_VDDA1_10N,C_VDDA2_10N",C_0402_1005Metric,C15195,2,10,160,5597972,OK,C15195,base,5597982,CL05B103KB5NNNC,Samsung Electro-Mechanics,0402,0.005
10uF,"C_FILT1_10U,C_FILT2_10U,C_VMID1_EXT_10U,C_VMID2_EXT_10U",C_0805_2012Metric,C2167576,4,20,170,4907,OK,C2167576,expand,4927,C0805C106K8RACTU,KEMET,0805,0.2732
10uF,"C_BUCK_IN,C_BUCK_IN2,C_BUCK_IN3",C_1210_3225Metric,C597579,3,15,165,2909,OK,C597579,expand,2924,12105C106K4Z2A,--,1210,0.6247
10Ω,"R_OUT1N,R_OUT1P,R_OUT2N,R_OUT2P,R_OUT3N,R_OUT3P,R_OUT4N,R_OUT4P,R_OUT5N,R_OUT5P,R_OUT6N,R_OUT6P,R_OUT7N,R_OUT7P,R_OUT8N,R_OUT8P",R_0402_1005Metric,C138066,16,80,230,1604142,OK,C138066,expand,1604222,RC0402FR-0710RL,YAGEO,0402,0.0041
