Comment,Designator,Footprint,LCSC
C113480 prelayout exact-code probe,R1,,C113480
C131394 prelayout exact-code probe,C2,,C131394
C144860 prelayout exact-code probe,D1,,C144860
C15195 prelayout exact-code probe,"C3,C4",,C15195
C1525 prelayout exact-code probe,"C10,C6",,C1525
C15849 prelayout exact-code probe,C8,,C15849
C15850 prelayout exact-code probe,"C11,C5,C9",,C15850
C16430 prelayout exact-code probe,U2,,C16430
C17408 prelayout exact-code probe,"R12,R13",,C17408
C17614 prelayout exact-code probe,R3,,C17614
C17936 prelayout exact-code probe,R14,,C17936
C194142 prelayout exact-code probe,F1,,C194142
C1972959 prelayout exact-code probe,U3,,C1972959
C25741 prelayout exact-code probe,"R2,R5",,C25741
C25762 prelayout exact-code probe,R9,,C25762
C25768 prelayout exact-code probe,"R6,R7,R8",,C25768
C25879 prelayout exact-code probe,R4,,C25879
C2878631 prelayout exact-code probe,U1,,C2878631
C60490 prelayout exact-code probe,"R10,R11",,C60490
C77102 prelayout exact-code probe,C1,,C77102
C83846 prelayout exact-code probe,D2,,C83846
C84455 prelayout exact-code probe,C7,,C84455
