Comment,Designator,Footprint,LCSC,qty,required_qty,stock_threshold,absolute_surplus,status,code,type,stock,mpn,manufacturer,pkg,price
C113480 prelayout exact-code probe,R1,,C113480,1,10,10,38092,OK,C113480,expand,38102,0402WGF3243TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0022
C131394 prelayout exact-code probe,C2,,C131394,1,10,10,7760824,OK,C131394,expand,7760834,CC0402KRX7R9BB104,YAGEO,0402,0.01
C144860 prelayout exact-code probe,D1,,C144860,1,10,10,199990,OK,C144860,expand,200000,S1M-E3/61T,Vishay Intertech,SMA(DO-214AC),0.0396
C15195 prelayout exact-code probe,"C3,C4",,C15195,2,20,20,5733516,OK,C15195,base,5733536,CL05B103KB5NNNC,Samsung Electro-Mechanics,0402,0.005
C1525 prelayout exact-code probe,"C10,C6",,C1525,2,20,20,31451423,OK,C1525,base,31451443,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,0.0045
C15849 prelayout exact-code probe,C8,,C15849,1,10,10,7736194,OK,C15849,base,7736204,CL10A105KB8NNNC,Samsung Electro-Mechanics,0603,0.0171
C15850 prelayout exact-code probe,"C11,C5,C9",,C15850,3,30,30,6701187,OK,C15850,base,6701217,CL21A106KAYNNNE,Samsung Electro-Mechanics,0805,0.0843
C16430 prelayout exact-code probe,U2,,C16430,1,10,10,13103,OK,C16430,expand,13113,TPS7A4901DGNR,Texas Instruments,HVSSOP-8,1.4777
C17408 prelayout exact-code probe,"R12,R13",,C17408,2,20,20,10084613,OK,C17408,base,10084633,0805W8F1000T5E,UNI-ROYAL(Uniroyal Elec),0805,0.0045
C17614 prelayout exact-code probe,R3,,C17614,1,10,10,297907,OK,C17614,base,297917,0805W8F3901T5E,UNI-ROYAL(Uniroyal Elec),0805,0.0027
C17936 prelayout exact-code probe,R14,,C17936,1,10,10,3605238,OK,C17936,base,3605248,1206W4F4701T5E,UNI-ROYAL(Uniroyal Elec),1206,0.0095
C194142 prelayout exact-code probe,F1,,C194142,1,10,10,25049,OK,C194142,expand,25059,0ZCJ0010FF2E,Bel Fuse,1206,0.138
C1972959 prelayout exact-code probe,U3,,C1972959,1,10,10,8973,OK,C1972959,expand,8983,TPD2E2U06DRLR,Texas Instruments,SOT-553-5,0.3228
C25741 prelayout exact-code probe,"R2,R5",,C25741,2,20,20,11360322,OK,C25741,base,11360342,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0025
C25762 prelayout exact-code probe,R9,,C25762,1,10,10,643604,OK,C25762,expand,643614,0402WGF1802TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0015
C25768 prelayout exact-code probe,"R6,R7,R8",,C25768,3,30,30,857815,OK,C25768,base,857845,0402WGF2202TCE,UNI-ROYAL(Uniroyal Elec),0402,0.004
C25879 prelayout exact-code probe,R4,,C25879,1,10,10,1233353,OK,C25879,base,1233363,0402WGF2201TCE,UNI-ROYAL(Uniroyal Elec),0402,0.004
C2878631 prelayout exact-code probe,U1,,C2878631,1,10,10,2637,OK,C2878631,expand,2647,OPA1679IDR,Texas Instruments,SOIC-14,0.9683
C60490 prelayout exact-code probe,"R10,R11",,C60490,2,20,20,7980672,OK,C60490,expand,7980692,RC0402FR-0710KL,YAGEO,0402,0.0033
C77102 prelayout exact-code probe,C1,,C77102,1,10,10,107300,OK,C77102,expand,107310,GRM32ER71H106KA12L,Murata Electronics,1210,0.3281
C83846 prelayout exact-code probe,D2,,C83846,1,10,10,18555,OK,C83846,expand,18565,SMBJ15A,Littelfuse,DO-214AA,0.1311
C84455 prelayout exact-code probe,C7,,C84455,1,10,10,23702,OK,C84455,expand,23712,GRM32ER61A107ME20L,Murata Electronics,1210,0.9016
