Comment,Designator,Footprint,MPN,LCSC
0ZCJ0010FF2E,F1,Fuse_1206_3216Metric,0ZCJ0010FF2E,C194142
100kΩ,"R2,R5",R_0402_1005Metric,0402WGF1003TCE,C25741
100nF,C2,C_0402_1005Metric,CC0402KRX7R9BB104,C131394
100nF,"C10,C6",C_0402_1005Metric,CL05B104KO5NNNC,C1525
100uF,C7,C_1210_3225Metric,GRM32ER61A107ME20L,C84455
100Ω,"R12,R13",R_0805_2012Metric,0805W8F1000T5E,C17408
10kΩ,"R10,R11",R_0402_1005Metric,RC0402FR-0710KL,C60490
10nF,"C3,C4",C_0402_1005Metric,CL05B103KB5NNNC,C15195
10uF,"C11,C5,C9",C_0805_2012Metric,CL21A106KAYNNNE,C15850
10uF,C1,C_1210_3225Metric,GRM32ER71H106KA12L,C77102
18kΩ,R9,R_0402_1005Metric,0402WGF1802TCE,C25762
1N4007(M7)SMA,D1,JKSEMI_1N4007_M7_SMA,1N4007(M7)SMA,C2972759
1uF,C8,C_0603_1608Metric,CL10A105KB8NNNC,C15849
2.2kΩ,R4,R_0402_1005Metric,0402WGF2201TCE,C25879
22kΩ,"R6,R7,R8",R_0402_1005Metric,0402WGF2202TCE,C25768
3.9kΩ,R3,R_0805_2012Metric,0805W8F3901T5E,C17614
324kΩ,R1,R_0402_1005Metric,0402WGF3243TCE,C113480
4.7kΩ,R14,R_1206_3216Metric,1206W4F4701T5E,C17936
OPA1679IDR,U1,TI_OPA1679_SOIC-14_D,OPA1679IDR,C2878631
SMBJ15A,D2,Littelfuse_SMBJ15A_SMB,SMBJ15A,C83846
TPD2E2U06DRLR,U3,TI_TPD2E2U06_DRL,TPD2E2U06DRLR,C1972959
TPS7A4901DGNR,U2,TI_TPS7A4901_DGN0008D,TPS7A4901DGNR,C16430
