LCSC,Ref,Status,Detail
C194142,F1,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C25741,R2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25741,R5,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C131394,C2,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C10,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C6,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C84455,C7,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C17408,R12,OK,fit=0.09mm jlc_offset=0 db=0.0 src=name-DB
C17408,R13,OK,fit=0.09mm jlc_offset=0 db=0.0 src=name-DB
C60490,R10,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R11,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C15195,C3,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C15195,C4,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C15850,C11,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C15850,C5,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C15850,C9,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C77102,C1,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C25762,R9,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C2972759,D1,ADJUDICATED-PAD-GEOM,"C2972759 is the exact JKSEMI 1N4007(M7)SMA in DO-214AC/SMA. The retained manufacturer PDF (SHA-256 f893d8385c6fee5af85b9053653bd8e93547c335c031cbab9ecb592c0bb5eddd) identifies the exact package and polarity. The project land uses two 2.50 x 1.80 mm end-cap pads at 4.00 mm centers; JLC's EasyEDA land uses a 4.88 mm center span. Both overlap the same package terminal regions; the reported 0.88 mm delta is a solder-fillet/land-extent preference, not a pin-order or reflection mismatch. The project footprint remains the reviewed board authority. D1 is separately rotation-sourced and remains mandatory in the JLC ORDER-PREVIEW HUMAN GATE before any order.
"
C2972759,D1,OK,fit=0.44mm jlc_offset=0 db=0.0 src=lcsc
C15849,C8,OK,fit=0.07mm jlc_offset=0 db=0.0 src=name-DB
C25879,R4,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25768,R6,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25768,R7,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25768,R8,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C17614,R3,OK,fit=0.09mm jlc_offset=0 db=0.0 src=name-DB
C113480,R1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C17936,R14,OK,fit=0.02mm jlc_offset=0 db=0.0 src=name-DB
C2878631,U1,OK,fit=0.14mm jlc_offset=270 db=270.0 src=lcsc
C83846,D2,ADJUDICATED-PAD-GEOM,"C83846 is the exact Littelfuse SMBJ15A unidirectional TVS in DO-214AA/SMB. The retained Littelfuse v4 sheet (SHA-256 d7df155be4b1f612085401e8c946f065e284d65a0e7de22b9225a7b73946e51b) specifies solder-pad dimensions I at least 2.260 mm, J and L at least 2.160 mm, and gap K at most 2.740 mm. The project land uses 2.50 x 2.30 mm pads with a 1.80 mm gap and therefore satisfies those manufacturer bounds. JLC's 4.72 mm pad-center span differs from the project's 4.30 mm by 0.42 mm, a known land-extent preference on the same two end caps. Pad 1 is independently verified as cathode on VIN_PROTECTED and pad 2 as anode on GND; the order preview must preserve that polarity.
"
C83846,D2,OK,fit=0.21mm jlc_offset=0 db=0.0 src=lcsc
C1972959,U3,OK,fit=0.01mm jlc_offset=0 db=0.0 src=lcsc
C16430,U2,OK,fit=0.05mm jlc_offset=270 db=270.0 src=lcsc
C277684,J1,ROT-DB-SUGGEST,"fit=0.00mm jlc_offset=180 db=0.0 src=name-DB -> add LCSC row C277684,180 to jlc_lcsc_rotations.csv"
C194142,F1,MODEL-REG-OK,body on courtyard (0.00mm)
C25741,R2,MODEL-REG-OK,body on courtyard (0.00mm)
C25741,R5,MODEL-REG-OK,body on courtyard (0.00mm)
C131394,C2,MODEL-REG-OK,body on courtyard (0.00mm)
C1525,C10,MODEL-REG-OK,body on courtyard (0.00mm)
C1525,C6,MODEL-REG-OK,body on courtyard (0.00mm)
C84455,C7,MODEL-REG-OK,body on courtyard (0.00mm)
C17408,R12,MODEL-REG-OK,body on courtyard (0.00mm)
C17408,R13,MODEL-REG-OK,body on courtyard (0.00mm)
C60490,R10,MODEL-REG-OK,body on courtyard (0.00mm)
C60490,R11,MODEL-REG-OK,body on courtyard (0.00mm)
C15195,C3,MODEL-REG-OK,body on courtyard (0.00mm)
C15195,C4,MODEL-REG-OK,body on courtyard (0.00mm)
C15850,C11,MODEL-REG-OK,body on courtyard (0.00mm)
C15850,C5,MODEL-REG-OK,body on courtyard (0.00mm)
C15850,C9,MODEL-REG-OK,body on courtyard (0.00mm)
C77102,C1,MODEL-REG-OK,body on courtyard (0.00mm)
C25762,R9,MODEL-REG-OK,body on courtyard (0.00mm)
C2972759,D1,MODEL-REG-OK,body on courtyard (0.00mm)
C15849,C8,MODEL-REG-OK,body on courtyard (0.00mm)
C25879,R4,MODEL-REG-OK,body on courtyard (0.00mm)
C25768,R6,MODEL-REG-OK,body on courtyard (0.00mm)
C25768,R7,MODEL-REG-OK,body on courtyard (0.00mm)
C25768,R8,MODEL-REG-OK,body on courtyard (0.00mm)
C17614,R3,MODEL-REG-OK,body on courtyard (0.00mm)
C113480,R1,MODEL-REG-OK,body on courtyard (0.00mm)
C17936,R14,MODEL-REG-OK,body on courtyard (0.00mm)
C2878631,U1,MODEL-REG-OK,body on courtyard (0.00mm)
C83846,D2,MODEL-REG-OK,body on courtyard (0.00mm)
C1972959,U3,MODEL-REG-OK,body on courtyard (0.00mm)
C277684,J1,P-MATE-REG-OK,catalog mating-side support differs from approved mating plane by -0.020mm; allowed +/-0.500mm
C277684,J1,MODEL-REG-OK,body on courtyard (0.02mm)
