Comment,Designator,Footprint,LCSC,qty,required_qty,stock_threshold,absolute_surplus,status,code,type,stock,mpn,manufacturer,pkg,price
0ZCJ0010FF2E,F1,Fuse_1206_3216Metric,C194142,1,10,10,24789,OK,C194142,expand,24799,0ZCJ0010FF2E,Bel Fuse,1206,0.138
100kΩ,"R2,R5",R_0402_1005Metric,C25741,2,20,20,11303112,OK,C25741,base,11303132,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0025
100nF,C2,C_0402_1005Metric,C131394,1,10,10,7741090,OK,C131394,expand,7741100,CC0402KRX7R9BB104,YAGEO,0402,0.01
100nF,"C10,C6",C_0402_1005Metric,C1525,2,20,20,31075357,OK,C1525,base,31075377,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,0.0045
100uF,C7,C_1210_3225Metric,C84455,1,10,10,23642,OK,C84455,expand,23652,GRM32ER61A107ME20L,Murata Electronics,1210,0.9012
100Ω,"R12,R13",R_0805_2012Metric,C17408,2,20,20,10063479,OK,C17408,base,10063499,0805W8F1000T5E,UNI-ROYAL(Uniroyal Elec),0805,0.0045
10kΩ,"R10,R11",R_0402_1005Metric,C60490,2,20,20,7961016,OK,C60490,expand,7961036,RC0402FR-0710KL,YAGEO,0402,0.0033
10nF,"C3,C4",C_0402_1005Metric,C15195,2,20,20,5699802,OK,C15195,base,5699822,CL05B103KB5NNNC,Samsung Electro-Mechanics,0402,0.005
10uF,"C11,C5,C9",C_0805_2012Metric,C15850,3,30,30,6615107,OK,C15850,base,6615137,CL21A106KAYNNNE,Samsung Electro-Mechanics,0805,0.0843
10uF,C1,C_1210_3225Metric,C77102,1,10,10,107076,OK,C77102,expand,107086,GRM32ER71H106KA12L,Murata Electronics,1210,0.328
18kΩ,R9,R_0402_1005Metric,C25762,1,10,10,642613,OK,C25762,expand,642623,0402WGF1802TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0015
1uF,C8,C_0603_1608Metric,C15849,1,10,10,7676082,OK,C15849,base,7676092,CL10A105KB8NNNC,Samsung Electro-Mechanics,0603,0.0171
2.2kΩ,R4,R_0402_1005Metric,C25879,1,10,10,1232535,OK,C25879,base,1232545,0402WGF2201TCE,UNI-ROYAL(Uniroyal Elec),0402,0.004
22kΩ,"R6,R7,R8",R_0402_1005Metric,C25768,3,30,30,853924,OK,C25768,base,853954,0402WGF2202TCE,UNI-ROYAL(Uniroyal Elec),0402,0.004
3.9kΩ,R3,R_0805_2012Metric,C17614,1,10,10,297268,OK,C17614,base,297278,0805W8F3901T5E,UNI-ROYAL(Uniroyal Elec),0805,0.0027
324kΩ,R1,R_0402_1005Metric,C113480,1,10,10,48092,OK,C113480,expand,48102,0402WGF3243TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0022
4.7kΩ,R14,R_1206_3216Metric,C17936,1,10,10,3593440,OK,C17936,base,3593450,1206W4F4701T5E,UNI-ROYAL(Uniroyal Elec),1206,0.0095
OPA1679IDR,U1,TI_OPA1679_SOIC-14_D,C2878631,1,10,10,2637,OK,C2878631,expand,2647,OPA1679IDR,Texas Instruments,SOIC-14,0.9679
S1M-E3/61T,D1,Vishay_S1M_SMA,C144860,1,10,10,199990,OK,C144860,expand,200000,S1M-E3/61T,Vishay Intertech,SMA(DO-214AC),0.0396
SMBJ15A,D2,Littelfuse_SMBJ15A_SMB,C83846,1,10,10,18538,OK,C83846,expand,18548,SMBJ15A,Littelfuse,DO-214AA,0.131
TPD2E2U06DRLR,U3,TI_TPD2E2U06_DRL,C1972959,1,10,10,8963,OK,C1972959,expand,8973,TPD2E2U06DRLR,Texas Instruments,SOT-553-5,0.3226
TPS7A4901DGNR,U2,TI_TPS7A4901_DGN0008D,C16430,1,10,10,13023,OK,C16430,expand,13033,TPS7A4901DGNR,Texas Instruments,HVSSOP-8,1.4771
